;; -*- coding:utf-8 -*-
[Comment]

[Parameter]
first-char=zyxwvutsrqponmlkjihgfedcba
total-char=;'abcdefghijklmnopqrstuvwxyz
lib=cyim-cy
page-length=8

[Punctuation]
{ 『
tsny 坦桑尼亚
tso 偷
tsoe 佻
tsou 佟 倜
tsp' 图书排行榜
tsp; 铁算盘 调色盘 台上盆
tspa 偷跑
tspd 探索频道
tspj 偷拍
tspp 停盘
tsps 他凭 贪生怕死
tspv 他骗
tspw 他怕
tspx 他陪
tspy 体魄 停牌
tsq' 塔式起重机 特殊情况下
tsq; 听上去 同时期 碳酸氢 铁索桥 桃山区 铁山区 碳酸气 调速器
tsqb 他强
tsqd 同时强调
tsqf 贪权
tsqh 贪求
tsqj 他抢 碳酸氢钾
tsqk 特殊情况
tsql 停球
tsqn 碳酸氢钠 碳酸氢纳
tsqo 停气
tsqp 体腔
tsqt 堂前
tsqu 他却
tsqv 碳酸氢铵
tsqw 偷窃 偷情 特殊气味
tsqx 同时取消 特殊情形
tsqy 贪钱
tsr; 投诉人 他虽然
tsrb 体弱
tsrc 提上日程 特殊人才
tsre 他让
tsrg 倘若
tsri 倘然
tsrj 体热 天上人间
tsrk 他日
tsrn 倘如
tsrq 特殊人群 吞声忍气
tsrs 他人
tsrw 特殊任务
tsrx 投诉热线 提示如下
tsry 途锐 天随人愿 天遂人愿
tss' 同时收到的 唐诗三百首 头上三尺有神明 台上三分钟台下十年功
tss; 甜丝丝 图书室 塔斯社 台山市 唐山市 拖手手 贪食蛇 图省事
tssa 他虽
tssb 停尸 停刷 唐诗三百 提示失败
tssc 停水
tssd 贪睡
tsse 他说
tssf 堂上
tssg 偷师
tssh 停丧
tssi 贪色
tssj 停手
tssk 体式
tssm 他死 它是什么 他说什么 天山山脉
tssn 堂嫂
tsso 偷税
tssp 他所
tssq 特殊时期
tssr 体衰
tsss 他伤 停售 倘使 停食 堂食 贪食
tsst 他送
tssu 他杀
tssv 停驶
tssw 停赛
tssy 烫手山芋
tst' 天使投资人 同时提供了 太岁头上动土 陀思妥耶夫斯基 同是天涯沦落人
tst; 谭嗣同 透视图 吐舌头 跳伞塔 他所提
tsta 偷听
tstb 特事特办
tstd 体贴 贪图 他同 停水停电 提升太多 吞食天地
tste 他谈
tstg 同时提供
tsth 同时替换 天生天化 同时通话
tstj 他挺
tstm 他太 体态
tstq 同声同气
tsts 偷偷 堂堂 倜傥 停停 他途 他他 推三推四 天生天杀
tstu 体坛 停妥 偷逃 偷塔
tstv 体统
tstx 台上台下
tsty 通商条约
tstz 土生土长 天使投资 台商投资 同时通知 停水通知
tsu 他
tsv' 摊书傲百城
tsva 他啊
tsvc 挺身而出
tsvd 唾手而得
tsvg 听说有个
tsvi 偷儿
tsvj 他按
tsvm 倘有
tsvp 妥善安排
tsvr 听说有人
tsvt 头上安头
tsvu 他爱
tsvw 偷安
tsvx 同时有效
tsvy 堂奥
tsvz 妥善安置
tsw' 天生我材必有用
tsw; 铁丝网 团市委
tswa 体味
tswb 堂屋
tswc 体温 贪污 天生我才 提示完成
tswd 他网
tswi 体外
tswl 他玩 贪玩 偷玩 倘未 他无 投石问路
tswm 同时我们 他说我们
tswo 体委 他物 停稳 体舞
tswp 他往
tswq 他问 童叟无欺
tswr 偷望
tsws 体位
tswt 他为
tsww 体悟
tswy 通俗文艺
tswz 提示文字
tsx' 贴身小棉袄 同声相应同气相求
tsx; 特殊性 投诉信
tsxa 堂兄
tsxb 吞噬细胞
tsxc 他洗 堂戏 铁石心肠 特色小吃
tsxe 贪心 偷心 他写 他心 体训 停训
tsxf 体校 体虚 他想
tsxg 停薪
tsxh 停下
tsxi 体系
tsxj 同时修建 投石下井 太岁星君
tsxk 停歇
tsxl 体现 体型 体形 天山雪莲
tsxm 偷袭
tsxn 他姓 提神醒脑
tsxo 偷笑 他先 体香 他笑 偷香
tsxp 偷腥
tsxq 偷闲
tsxr 体癣
tsxs 他像
tsxt 图书选题
tsxv 他乡
tsxw 体恤
tsxx 脱实向虚
tsxy 他向 停息 特殊需要 同声相应 同时需要 同时想要
tsxz 听说现在 同时选择 条数限制 特色小镇 同时洗澡
tsy' 天生一对宝 摊书拥百城 唐宋元明清 台上一分钟 同素异形体 台上一分钟台下十年功
tsy; 太师椅 投身于 谈生意 滕守尧 同时要 提示音 同时也 碳酸盐
tsya 停业
tsyb 他已
tsyc 他又 他以 体液 停演 偷油 涂上一层 同睡一床
tsyd 他由 偷眼 倘遇 他因 途遇 泰山压顶 通俗易懂 天生一对 跳伞运动 同时要对
tsyg 偷营 停药 他是一个 她是一个 它是一个
tsyh 他要
tsyi 停用
tsyj 涛声依旧
tsyk 他与
tsyl 停运
tsyp 投上一票
tsyq 特殊要求 吞声饮泣
tsyr 体育
tsyu 贪欲
tsyv 体验
tsyw 天生尤物 天色已晚 他是一位 特色业务 特殊业务
tsyx 他也 体院 提示一下 探索一下 调试一下 同素异形
tsyy 特殊原因
tsyz 它是一种
tsz' 太伤自尊了 太上之忘情 他山之石可以攻玉 它山之石可以攻玉
tsz; 探索者 菟丝子 唐三藏 图书证 同时在 投诉者 铁砂掌
tsza 他只
tszc 停滞
tszd 途中
tsze 停诊
tszf 停止 停战 贪占 吐丝自缚 痰湿阻肺 特殊字符 特殊做法
tszg 特殊照顾 踏上这个
tszh 他再 他真 他正 停职 他者 堂正 他甚至会 同时最好 涕泗纵横 特殊账户
tszj 他找
tszk 他最
tszl 体专 图书资料
tszm 停在
tszo 体重 体制
tszp 体质 体征 体脂 停征
tszr 堂主
tszs 他做 他住 停住 堂侄 他山之石 推三阻四 它山之石
tszt 他总 偷着 停着 体总
tszu 偷走
tszv 停驻
tszx 堂子
tszy 体针
tszz 童山濯濯
tt 糖
tta 剃
ttau 羰
ttb; 听听吧
ttbc 替他报仇
ttbd 滔滔不断 他太霸道 忐忑不定
ttbf 谈吐不凡
ttbh 誊本
ttbi 糖包
ttbj 滔滔不绝
ttbl 投桃报李
ttbm 天庭饱满
ttbq 倜傥不群
ttbs 团体比赛
ttbv 忐忑不安
ttbw 团团包围
ttbx 团体保险
ttby 头痛不已
ttc; 土特产 团体操
ttcb 图腾崇拜
ttcc 团团簇簇
ttcd 通天彻地
ttcg 糖茶
ttch 糖醋
ttcj 誊抄
ttcl 偷偷出来
ttcm 糖厂
ttcp 土特产品
ttcq 偷偷出去
ttcr 偷偷插入
ttcu 郯城
ttcy 团体成员
ttd' 条条大路通罗马
ttd; 妥妥的 甜甜地 妥妥地 甜甜的 偷偷的 偷偷地 剃头刀
ttdb 糖弹
ttdc 饕餮大餐
ttdd 坦坦荡荡 停停当当 妥妥当当
ttdh 滔天大祸
ttdi 糖豆
ttdj 剃掉
ttdk 糖甙
ttdl 田头地里 条条大路
ttdn 剃刀
ttdr 剃度
ttdt 天天动听
ttdx 天塌地陷
ttdy 天堂地狱
ttdz 滔天大罪
tte 誊 糖
ttei 焞
ttf; 透透风
ttfc 天天飞车
ttfe 糖房
ttfg 蜩螗沸羹
ttfl 倜傥风流 逃脱法律
ttfn 剃发
ttfs 糖份
ttfu 糖分
ttg; 退堂鼓 铁头功
ttgd 糖果
ttgg 糖苷
ttgj 团体冠军
ttgn 偷偷给你
ttgo 糖罐
ttgp 糖瓜
ttgr 糖膏
ttgs 剃光
ttgw 跳探戈舞
ttgx 天天高兴
tth; 头条号
tthd 团体活动 替他回答
tthg 脱胎换骨
tthh 鹈鹕
tthq 头屯河区
tthr 偷天换日
tths 糖化
tthx 讨她欢心 谈吐诙谐 跳台滑雪 讨他欢心
tthy 团体会员
tthz 团体合作 天天喊着
ttj; 推土机 凸透镜 团体奖
ttjc 糖酒
ttjg 谈谈价格
ttjh 羰基 烃基
ttjj 挑挑拣拣
ttjk 听他讲课
ttjl 滔天巨浪
ttjr 糖浆
ttjs 糖价 滔滔江水 团体精神 听他解释 铁桶江山
ttjt 糖精
ttk; 钛铁矿 天天看
ttkd 天天快递
ttkh 天天开会
ttkj 拓土开疆
ttkk 条条框框 痛痛快快 条条块块 抬头看看 啼啼哭哭
ttkl 天天快乐 太痛苦了
ttkn 偷偷看你
ttkp 天天酷跑
ttkt 偷偷看他 偷偷看她
ttku 糖块
ttkw 偷偷看我
ttkx 天天开心 体坛快讯
ttky 徒托空言
ttl' 偷偷溜出来 托塔李天王
ttl; 吞吐量 淘汰了 淘汰率 弹跳力 桃太郎
ttlb 誊录
ttld 谈天论地
ttlg 亭台楼阁
ttll 拖拖拉拉
ttlm 天天连萌
ttlo 糖梨
ttlt 糖类
ttlx 剃了 亭台楼榭 天体力学
ttm; 榻榻米
ttmm 偷偷摸摸 甜甜蜜蜜 体体面面
ttmo 剃毛
ttmw 糖蜜
ttmy 套头毛衣
ttn' 泰坦尼克号
ttn; 天堂鸟 疼痛难
ttnb 糖尿
ttnh 滔天怒火
ttnj 踢天弄井
ttnk 泰坦尼克
ttnl 吞吐能力
ttnm 天天那么
ttnn 头头脑脑
ttnr 头疼脑热
tto 鹈
ttoi 烶
ttou 焕
ttpp 太太平平
ttps 偷逃骗税
ttpy 糖片 贪图便宜
ttq; 贴图区 透透气 通通气 甜甜圈
ttqc 誊清
ttql 糖球
ttqs 吞炭漆身
ttqt 他抬起头
ttqy 体态轻盈
ttr; 太投入
ttrh 探讨如何
ttrr 推推嚷嚷
ttrs 糖人
ttrw 体贴入微
tts; 淘汰赛 团体赛 提提神 天台山 听它说
ttsc 糖水
ttsd 头头是道 谈天说地 天天说的
ttsg 糖蒜
ttsh 糖酸
ttsi 糖色
ttsj 糖霜
ttsl 涂炭生灵
ttsn 探头缩脑
ttso 糖税
ttss 糖食 踏踏实实 推推搡搡 汤汤水水
ttst 吐吐舌头 通体舒泰
ttsw 听他说完
ttsy 饕餮盛宴
ttt' 探头探脑儿 剃头挑子一头热
ttt; 天梯图 天天听
tttb 铜头铁臂
tttj 天天特价
tttn 探头探脑 土头土脑
tttt 糖糖 吞吞吐吐 忐忐忑忑 挑挑剔剔
tttv 铜头铁额
tttw 剃头
tttx 抬头挺胸
ttu 烃
ttua 郯
ttue 熥
ttui 煺
ttv' 天堂有路你不走
ttv; 塔塔尔
ttvn 体态婀娜
ttvr 天天有人
ttvy 贪图安逸
ttvz 塔塔尔族
ttw' 天台乌药散 天体物理学
ttw; 踢踏舞 抬头纹
ttwl 天体物理
ttwr 体贴温柔
ttws 头天晚上
ttwt 探讨问题
ttwz 团团围住
ttx; 谈谈心 通通信
ttxb 滔滔雄辩
ttxd 替天行道
ttxe 誊写
ttxl 天塌下来
ttxn 天天想你
ttxo 糖稀
ttxp 剃须
ttxq 头痛项强
ttxs 天天向上 探听虚实 贪图享受
ttxt 天天想他
ttxw 头条新闻
ttxz 团体协作
tty' 头痛医头脚痛医脚
tty; 体态语
ttya 糖业
ttyh 天天优惠 铁通用户
ttyi 誊印
ttyj 提提意见
ttyk 抬头一看
ttyl 亭亭玉立 头痛欲裂 听筒音量
ttym 糖原 听天由命 他同意吗
ttyq 通同一气
ttyr 糖衣
ttys 探听隐私
ttyt 头痛医头
ttyw 跳脱衣舞
ttyx 探讨一下
ttyy 团团圆圆 听听音乐
ttz; 团团转 唐太宗
ttzb 体坛周报
ttzc 糖汁
ttzd 滩头阵地
ttzg 贪天之功
ttzh 誊正
ttzj 头痛之极
ttzl 推涛作浪
ttzm 天天这么
ttzq 贴图专区 天同证券
ttzs 投胎转世 天天在说
ttzv 糖纸
ttzx 滔天罪行
ttzz 堂堂正正
tu 土
tua 趟
tuau 坦 塌 垌 埕
tuba 逃吧
tubb 逃避
tubd 土崩 塔崩
tube 填补
tubi 填饱
tubj 填报
tubl 填表
tubm 土布
tubs 土堡 妥便
tubt 土鳖
tubu 塘坝
tubx 塔巴
tuby 坦白 逃兵
tucb 土层
tuce 坦诚
tucf 塘村
tucg 土菜
tuck 塌车
tucl 土蚕
tucr 填充 土产 土畜
tucs 填仓
tucu 塔城
tucw 逃窜
tucx 逃出 坦承 坦陈 填出
tucy 填错
tuda 塔吊
tudf 填点
tudg 坦荡
tudh 塔顶
tudi 土豆
tudj 逃掉
tudk 逃到
tudo 逃敌
tudp 逃遁
tudr 塔底
tuds 妥当
tudt 填单
tudu 土地
tue 逃
tuee 坨
tuei 塘
tufc 土法
tufd 土蜂
tufe 土房
tufi 逃犯
tufk 土匪
tufl 塔丰
tufm 妥否
tufn 填发
tufp 土肥
tufr 塌方 土方 填方 逃废 坍方
tuft 土粪
tufu 土坟
tufv 填缝
tufx 塔防
tugb 土改
tugc 塘沽
tugd 土岗
tugf 土棍
tugg 逃归
tugh 逃过
tugi 土狗
tugl 塘干
tugo 土罐
tugp 土瓜
tugr 塔高
tugu 土埂
tuha 土嗨
tuhc 填海
tuhd 逃回
tuhe 土话
tuhg 逃荒
tuhh 土黄
tuhm 土灰
tuhn 填好 逃婚
tuhr 土豪
tuhs 土货
tuhv 坦缓
tuhy 塌毁
tui 填 土
tuia 塔 鼗 圢
tuii 坛
tuiu 坉
tujb 土建
tujc 土鸡
tujd 填具
tuje 逃军
tujf 塔机
tujg 塔尖
tujh 塔基
tujl 逃进
tujn 填加
tujo 土籍
tujr 土交
tujt 填精
tujw 土家
tuka 塘口
tuke 逃课
tukh 坦克
tukl 逃开
tukm 土矿
tuko 土筐
tukr 塘库 塔库
tukt 土炕
tuku 填坑 土坑 土坎 土块
tukw 填空
tula 土路
tulc 逃漏
tuld 土里
tulf 塔楼
tulg 塌落
tuli 土狼
tulj 坦露
tulk 塔轮
tulm 填列
tulr 逃离
tult 填料
tulw 土牢
tulx 逃了
tuly 土链
tumc 填满
tumf 土木
tumi 土名
tumq 土门 塔门
tums 逃命
tumu 填埋
tumv 趟马
tunc 逃难
tund 塔内
tunh 塘南
tunk 逃匿
tuno 土牛
tuo 坍
tuou 堍
tupa 逃跑
tuph 逃票
tupj 填平
tupu 土坯
tupy 塔铺
tuqa 塔器
tuqc 妥洽
tuqf 土枪
tuqk 妥切
tuqo 土气
tuqt 塘前 塔前
tuqu 逃去 土墙 趟起
tuqy 土丘
turg 塔荣
turi 坦然
turs 土人
turu 土壤 填入 逃入
tusa 填啥
tusb 土司
tusc 趟水
tusd 土山
tuse 坦说
tusf 填上
tush 逃散
tusi 填色
tusk 塔式
tusm 土石
tuso 逃生 逃税 土生 妥适
tusr 坦率
tuss 土俗
tust 妥善
tusu 逃杀
tusv 坍缩
tusw 填塞
tusy 塔身
tutc 塔台
tutd 妥帖
tutj 妥投
tuto 土特
tutp 逃脱
tuts 坦途
tutu 妥妥 坍塌 填土 填妥 塔塔
tuu 妥
tuua 趯
tuvi 塔尔
tuvm 填有
tuvo 塘鹅
tuvs 土偶
tuvw 妥安
tuwa 土味
tuwb 土屋
tuwc 土温
tuwi 塔外
tuwo 土物
tuwp 逃往
tuwr 逃亡
tuwt 妥为
tuww 填完
tuxe 填写
tuxh 妥协
tuxi 土系
tuxk 土星
tuxm 塘厦
tuxp 土腥
tuxr 逃席
tuxt 坨翔
tuxw 逃学
tuxx 塌陷
tuxy 逃向
tuyd 填鸭
tuye 土语
tuyf 土样
tuyg 土药
tuyi 逃逸
tuyk 塔影
tuyl 土元
tuym 坛友
tuyp 塌腰
tuyr 坦言
tuyu 塘堰
tuyw 土窑
tuyx 逃也
tuzc 坦洲
tuzd 土中 逃罪
tuze 逃之 逃证
tuzg 土著 土葬
tuzh 坦直
tuzk 逃至
tuzm 填在
tuzo 土造
tuzp 土质
tuzr 坛主
tuzs 逃债
tuzt 土灶
tuzu 逃走
tuzv 土纸
tuzx 坛子
tuzy 塔钟 塘镇
tv 统
tva 缇
tvb' 天有不测风云 天有不测风云人有旦夕祸福
tvbf 驼背
tvbi 统包
tvbj 拖而不决
tvbn 甜而不腻
tvbp 凸凹不平
tvbv 统编
tvbw 听而不闻
tvby 统兵 痛而不言
tvcd 绦虫
tvcl 太有才了
tvco 统筹 统称 彖辞
tvcp 统舱
tvd; 特有的
tvdc 太阿倒持
tvdd 他有多大
tvde 统调
tvdh 统带
tvdi 统独
tvdn 拖儿带女
tve 驼 统
tveo 绨
tvf; 同案犯
tvfd 驼峰
tvfn 统发
tvfu 统分
tvfy 胎儿发育
tvgc 统观
tvgd 统购
tvgh 统共
tvgo 统管
tvgz 推而广之
tvh; 天鹅湖 特奥会
tvho 统和
tvhs 统合
tvhy 退有后言
tvhz 堂而皇之
tvi 驮
tvio 彖
tvjb 统建
tvje 统计
tvjk 驮轿
tvjw 退而结网
tvkh 统考
tvkj 统括
tvko 驮筐
tvl; 太矮了
tvlj 统揽
tvlo 驮篓
tvlr 驼鹿
tvls 统领
tvlv 统练
tvlx 驮了
tvly 驼铃
tvm' 天安门广场 天安门城楼 天安门事件
tvm; 天安门
tvmo 驼毛
tvmv 驮马
tvni 驼鸟
tvnl 太爱你了
tvo 绦
tvou 绹
tvpc 统派
tvph 统配
tvpy 统铺
tvq' 退而求其次
tvq; 土耳其 同安区
tvqb 驼群 徒有其表
tvqd 土耳其队
tvqe 统裙
tvqm 徒有其名
tvqr 土耳其人
tvqy 土耳其语
tvr; 天鹅绒 天鹅肉
tvrb 天鹅绒般
tvrm 天鹅绒毛
tvrs 铁案如山
tvrv 驼绒
tvs' 提案审查委员会
tvs; 托儿所 泰安市 图案色 塔尔寺
tvsb 统属
tvsc 提案审查
tvse 统设
tvsg 统帅
tvsi 驼色
tvsj 统摄
tvsr 统率
tvst 托尔斯泰
tvsx 统收
tvt; 梯恩梯
tvtv 统统
tvu 骀
tvvj 疼爱有加
tvvz 凸凹有致
tvxb 胎儿性别
tvxj 同恶相济
tvxk 统辖
tvxl 太恶心了 太有效了
tvxm 徒有虚名
tvxo 统选
tvxy 统销
tvy; 兔儿爷
tvyi 统一
tvyl 驮运
tvyp 统御
tvys 挺有意思
tvyv 统驭
tvz' 台儿庄战役
tvz; 天鹅座 台儿庄
tvzc 统治
tvzf 统战
tvzj 统招
tvzo 统制
tvzq 台儿庄区
tvzs 投案自首
tvzt 驮着
tvzx 驮子 驼子 绦子 铤而走险 挺而走险
tvzz 他安装在 它安装在
tw 它
twa 惕
twae 惝
twb' 天王补心丹
twb; 体温表 退伍兵 调味包
twba 它吧
twbe 它被
twbf 图文不符
twbh 体温变化
twbj 它把
twbk 它比
twbm 它不 图文并茂
twbr 头部 突变
twbs 它便
twbt 它并
twbx 头孢
twby 头版
twbz 胎位不正
twc' 调胃承气汤 同往常一样
twc; 同温层
twca 它吃
twcg 头茬
twch 它才 头寸
twci 突触
twcl 图文处理
twcm 它存
twco 头筹
twcp 头舱
twcr 头次
twcs 它从
twct 它曾
twcu 头彩
twcx 突出
twd; 台湾岛 台湾的 台湾队
twdc 它对 恬淡
twdh 头顶 头戴 它都 头都 头带
twdj 台湾当局
twdl 天文地理
twdm 头大
twdo 头等
twdp 它得
twdq 贪污盗窃 台湾地区
twds 它倒 图文电视
twdt 头灯
twdu 突地
twdw 天文单位
twdx 台湾大学
twdy 它的
twe 头
tweo 悌
twf' 天网防火墙
twf; 贪污犯
twfb 贪污腐败
twfh 贪污腐化
twfi 头风
twfl 天外飞来
twfn 头发 突发 突飞
twfs 头伏
twfx 突防
twg' 天王盖地虎 天王盖地虎宝塔镇河妖
twg; 滕王阁 天文馆
twgb 它敢
twgd 头骨
twgh 头功
twgj 它搞 台湾各界
twgm 突感
twgo 头箍
twgr 它高
twgt 头盖
twgv 它给
twgx 滕王阁序
twgy 滕王阁烟
twgz 叹为观止
twh' 天网恢恢疏而不漏
twh; 题外话
twha 头号
twhd 头回
twhg 头花
twhh 天网恢恢
twhi 头昏
twhj 庭外和解
twhl 贪污贿赂
twhm 它还
twhn 头婚
twho 它和
twhp 它很
twhq 汤旺河区
twhs 它会
twhx 台湾海峡
twi 突
twii 恸
twj' 天无绝人之路
twj; 体温计 同位角 调味剂 头文件 跳舞机 甜味剂
twja 它叫
twjc 头颈
twjd 头巾
twjg 特务机关
twjh 头髻
twji 头角
twjl 突击 恬静 突进
twjm 突厥
twjp 头肌
twjr 它就 它将 头奖 突就 突将 头就 退伍军人
twjs 它集 听我解释
twjw 恬寂
twjx 突降
twka 恸哭
twkh 它可
twkj 突撸
twkm 头盔
twko 它看
twkt 退无可退
twku 头壳
twl' 天王老子都不怕
twl; 图瓦卢 太晚了 图瓦鲁 天文历 调味料
twla 头路
twlc 头梁
twld 头里
twlf 头颅
twli 头狼
twlj 头来
twlk 天外来客
twll 太无聊了
twlm 惕厉
twlp 头脸
twls 头领
twlv 头驴
twlx 条分缕析
twlz 天王老子
twm; 太完美
twma 它吗
twmd 头目
twme 恬谧
twmi 头名
twmk 头曼
twml 太完美了
twmm 头面
twms 它们
twmt 恬美
twmv 头马
twmz 台湾民众
twn; 腿玩年
twnb 它那
twnc 它能
twnd 听完你的
twno 头年
twnp 头脑
twns 他问你是
two 恬 它
twoe 窕 慆
twp; 调味品
twpa 头喷
twpd 头帕
twpj 头排
twpm 突破
twpn 头皮
twpt 头炮
twpv 头骗
twpy 头牌
twqk 头七
twql 头球
twqt 头前
twqu 突起
twqy 突泉
twr; 台湾人
twrb 台湾日报
twre 它让
twri 突然
twrm 台湾人民
twrs 头人
twru 突入
twrw 铁腕人物
twry 跳丸日月
tws' 台湾省政府 同位素化学 台湾事务办公室
tws; 听我说 台湾省 同位素 泰晤士 特维斯
twsb 头刷 泰晤士报
twse 它说
twsf 头上
twsg 体温升高
twsh 贪污受贿 泰晤士河
twsi 头饰
twsj 团委书记 体外射精 体外受精
twsk 它是
twsl 同位素量
twso 恬适
twsp 它所
twsr 突施
twss 它使
twst 头数
twsu 头虱
twsv 头绳
twsw 突审
twsy 头身
twsz 天文数字
twt; 天文台
twta 头踏
twtb 台湾同胞
twtc 头汤
twtd 头图
twti 头条
twtl 头天
twtm 头套
twto 头秃
twtp 头胎
twtr 头疼 头痛
twtw 头头
twtx 头陀
twty 头铁
twtz 同文同种
twva 它啊
twvi 头儿
twvj 贪污案件
twvm 它有
twvr 天无二日
twvt 天外有天
twvw 头额
tww' 天文望远镜
twwb 头尾
twwd 突围
twwf 体无完肤
twwg 图文无关
twwk 头晚
twwl 它玩
twwm 突兀
twwq 突闻
twwt 它为
twwv 头维
twwz 台湾网站
twx; 天文学 天王星
twxb 头屑
twxd 头眩
twxf 它想
twxg 头小
twxh 头项
twxj 天文学家
twxk 突显
twxl 头型
twxm 突袭
twxo 头先
twxp 头衔
twxq 图文详情
twxr 头癣
twxs 头像
twxv 头绪
twy' 投我以桃报之以李
twy; 同位语
twyc 它又 它以 头油 拖网渔船
twyd 突遇
twyh 它要
twyi 它用
twyk 头晕
twym 头雁
twyr 头夜
twyt 头羊
twyx 它也
twz; 贪污罪 逃亡者 天文钟
twza 它只
twzd 头中 头罩 调为最大
twzf 头枕
twzg 替我照顾
twzh 突遭
twzi 头猪
twzj 它找
twzk 它最 突转
twzl 图文资料
twzm 它在
twzo 头重
twzp 头胀
twzr 头座
twzs 它做
twzt 它总
twzu 突增
twzx 头子
tx 陶
txb' 天下本无事 贪心不足蛇吞象 天下本无事庸人自扰之
txb; 通信兵 通讯簿 体细胞 弹性波 通讯兵 通信班
txba 陶吧
txbb 天线宝宝
txbj 图像编辑
txbl 同心并力
txbm 通宵不眠
txbn 痛心拔脑
txbq 填写不全
txbt 天下霸图
txby 贪小便宜
txbz 贪心不足 图形保真
txc' 图像传感器
txc; 体现出 通信处
txcd 图形菜单
txcf 陶村
txcg 填写成功
txcl 体现出来 图像处理 图象处理 体现出了 图形处理 太新潮了 填写错了
txcp 推销产品
txcr 陶瓷
txcs 天下苍生
txct 蹄形磁铁 条形磁铁
txcw 填写错误
txcy 通信产业 通宵彻夜 听写测验
txcz 图形操作
txd; 探险队 剃须刀 堂兄弟 天晓得 体系的
txdb 天下独步
txdc 碳性电池
txdd 提心吊胆 通宵达旦 挺胸叠肚
txdf 提醒对方
txdg 天悬地隔
txdh 陶都
txdj 提醒大家
txdk 贴息贷款
txdl 天下大乱
txdo 陶笛
txds 天下大事 天下大势 提醒的是 填写的是
txdt 陶道
txdx 铁血丹心
txdy 天下第一
txdz 天旋地转 通信地址 通讯地址 天下大治
txe 陀
txeo 粜
txf; 通心粉 退休费 通行费
txfd 头绪繁多
txfm 天下父母
txfn 调戏妇女
txfs 谈笑风生 谈笑风声 通讯方式
txfx 图形分析 同学发现
txfy 同学反映
txfz 天下纷争
txg' 通信管理局 图形工作站
txg; 剃须膏 天邪鬼
txgb 退休干部
txgc 通信工程
txgf 填写规范
txgg 体系改革
txgh 陶工
txgj 通讯工具 同心共济
txgl 同心共利
txgn 提醒过你
txgo 陶罐
txgr 退休工人
txgs 天香国色
txgx 天下归心
txgz 他乡故知
txh; 挺喜欢 同学会 同乡会
txhc 铁血皇城
txhd 陶虹
txhj 太虚幻境
txhl 同心合力
txhn 他想和你
txhv 陶红
txhx 图形核心
txhy 通信行业 同心合意
txj; 退休金 探险家 天行健 谈笑间
txjb 停下脚步
txjf 啼笑皆非
txjg 体系结构 体系架构 退休军官
txjh 同学聚会
txjm 特许加盟 图形界面
txjs 痛心疾首 通信技术 通讯技术 体系建设 退休教师 铁血军事 推贤进士
txjt 特写镜头 通信集团
txjx 痛下决心
txjy 陶钧 特许经营
txjz 体现价值
txk; 图形卡 天下苦
txkz 图形控制
txl' 头悬梁锥刺股 天下攘攘皆为利往
txl; 停下来 通讯录 同性恋 跳下来 体现了 同学录 退下来 贴现率 头悬梁 太小了 透心凉
txlb 袒胸露背
txlc 袒裼裸裎
txld 陀螺
txlf 袒胸露腹
txli 陶乐
txll 通信联络
txlr 袒胸露乳
txls 特效铃声
txlt 陶粒
txlv 同性恋爱
txlw 提醒了我
txlx 他笑了笑 弹性力学
txly 探险旅游
txlz 停薪留职 同性恋者
txm' 太羡慕你了 天下没有免费的午餐 天下没有白吃的午餐 天下没有不散的筵席
txm; 同学们 条形码
txmd 天下莫敌
txml 弹性模量
txmq 同学面前
txmr 陶庙
txmv 提线木偶
txn; 天蝎女
txnk 脱下内裤
txnl 退休年龄
txnm 提醒你们
txnr 填写内容
txnv 铁血男儿
txny 脱下内衣
txo 陶
txp' 贪小便宜吃大亏
txp; 天仙配 特需品
txpy 陶片 贪小便宜 同性朋友 贴心朋友
txq; 跳下去 天心区 听下去 屯溪区 调谐器 土腥气
txqa 陶器
txqc 陶潜
txqj 推向前进
txqt 头项强痛
txqy 偷香窃玉
txr; 贴心人 退虚热 甜杏仁
txrc 挑选人才
txri 陶然
txrj 通讯软件 通信软件
txrl 太吓人了
txrn 推贤让能
txrq 填写日期
txrr 天下攘攘
txrw 体恤入微
txry 退休人员
txrz 体系认证
txs' 忒修斯之船 台下十年功
txs; 通讯社 檀香山 泰兴市 拖下水 天下事 推销商 拖小手 她想说
txsb 通讯设备 通信设备 谈性色变
txsd 贪小失大
txsj 通信世界
